Artist,Titels,Link,Lyrics
Arctic Monkeys,Star Treatment,https://www.lyrics.com/lyric/34972023/Arctic+Monkeys/Star+Treatment,"['I just wanted to be one of The Strokes', 'Now look at the mess you made me make', 'Hitchhiking with a monogrammed suitcase', 'Miles away from any half-useful imaginary highway', ""I'm a big name in deep space"", ""Ask your mates but golden boy's in bad shape"", 'I found out the hard way', ""That here ain't no place for dolls like you and me"", ""Everybody's on a barge"", 'Floating down the endless stream of great TV', '1984, 2019', '', 'Maybe I was a little too wild in the 70s', 'Rocket-ship grease down the cracks of my knuckles', 'Karate bandana', 'Warp speed chic', 'Hair down to there', 'Impressive moustache', 'Love came in a bottle with a twist off cap', ""Let's all have a swig and do a hot lap"", '', 'So who you gonna call?', 'The martini police', ""Baby, that isn't how they look tonight, oh no"", 'It took the light forever to get to your eyes', '', 'I just wanted to be one of those ghosts', 'You thought that you could forget', 'And then I haunt you via the rear view mirror', 'On a long drive from the back seat', ""But it's alright 'cause you love me"", ""And you recognize that it ain't how it should be"", ""Your eyes are heavy and the weather's getting ugly"", 'So pull over, I know the place', ""Don't you know an apparition is a cheap date?"", ""What exactly is it you've been drinking these days?"", 'Jukebox in the corner', 'Long hot summer', ""They've got a film up on the wall and it's dark enough to dance"", ""What do you mean you've never seen Blade Runner?"", '', 'Oh, maybe I was a little too wild in the 70s', 'Back down to earth with a lounge singer shimmer', 'Elevator down to my make believe residency', 'From the honeymoon suite', 'Two shows a day, four nights a week', 'Easy money', '', 'So who you gonna call?', 'The martini police', 'So who you gonna call?', 'The martini police', ""Baby, that isn't how they look tonight"", 'It took the light absolutely forever to get to your eyes', '', ""And as we gaze skyward, ain't it dark early?"", ""It's the star treatment, yeah"", ""And as we gaze skyward, ain't it dark early?"", ""It's the star treatment"", ""It's the star treatment"", 'The star treatment']"
Arctic Monkeys,One Point Perspective,https://www.lyrics.com/lyric/34972022/Arctic+Monkeys/One+Point+Perspective,"['Dancing in my underpants', ""I'm gonna run for government"", ""I'm gonna form a covers band and all"", 'And back there by the baby grand', 'Did Mr. Winter Wonderland say', '""Come here, kid, we really need to talk""?', 'Bear with me, man, I lost my train of thought', '', 'I fantasize, I call it quits', 'I swim with the economists', 'And I get to the bottom of it for good', 'By the time reality hits', 'The chimes of freedom fell to bits', 'The shining city on the fritz', 'They come out of the cracks', 'Thirsty for blood', '', 'Just as the apocalypse finally gets prioritized', 'And you cried some of the hottest tears you ever cried', 'Multiplied by five', 'I suppose the singer must die', '', ""Singsong 'round the money tree"", 'This stunning documentary', 'That no one else unfortunately saw', 'Such beautiful photography', ""It's worth it for the opening scene"", ""I've been driving 'round listening to the score"", 'Or maybe, I just imagined it all', ""I've played to quiet rooms like this before"", 'Bear with me, man, I lost my train of thought']"
Arctic Monkeys,American Sports,https://www.lyrics.com/lyric/34972021/Arctic+Monkeys/American+Sports,"['So when you gaze at planet earth from outer space', 'Does it wipe that stupid look off of your face?', 'I saw this aura over the battleground states', 'I lost the money, lost the keys', ""But I'm still handcuffed to the briefcase"", '', 'And I never thought, not in a million years', ""That I'd meet so many lovers"", 'Can I please have my money back?', 'My virtual reality mask is stuck on ""Parliament Brawl""', 'Emergency battery pack just in time', 'For my weekly chat with God on video call', '', 'Breaking news, they take the truth and make it and fluid', ""The trainer's explanation was accepted by the steward"", 'A montage of the latest ancient ruins', 'Soundtracked by a chorus of ""you don\'t know what you\'re doing""', '', 'And I never thought, not in a million years', ""That I'd meet so many lovers"", '', 'And all of my most muscular regrets explode', 'Behind my eyes like American sports', '', 'And I never thought, not in a million years', ""That I'd meet so many lovers""]"
Arctic Monkeys,Tranquility Base Hotel + Casino,https://www.lyrics.com/lyric/34972020/Arctic+Monkeys/Tranquility+Base+Hotel+%2B+Casino,"['Jesus in the day spa', 'Filling out the information form', 'Mama got her hair done', 'Just popping out to sing a protest song', ""I've been on a bender back to that prophetic esplanade"", 'Where I ponder all the questions', 'But just manage to miss the mark', '', 'Good afternoon', 'Tranquility Base Hotel and Casino', 'Mark speaking', 'Please tell me how may I direct your call?', '', 'This magical thinking', 'Feels as if it really might catch on', 'Mama wants some answers', 'Do you remember where it all went wrong?', 'Technological advances', 'Really bloody get me in the mood', 'Pull me in close on a crisp eve, baby', ""Kiss me underneath the moon's side boob"", '', 'Good afternoon', 'Tranquility Base Hotel and Casino', 'Mark speaking', 'Please tell me how may I direct your call?', '', 'Do you celebrate your dark side', ""Then wish you'd never left the house?"", 'Have you ever spent a generation', 'Trying to figure that one out?', '', 'Good afternoon', 'Tranquility Base Hotel and Casino', 'Mark speaking', 'Please tell me how may I direct your call?']"
Arctic Monkeys,Golden Trunks,https://www.lyrics.com/lyric/34972019/Arctic+Monkeys/Golden+Trunks,"[""Last night when my psyche's"", 'Subcommittee sang to me in its scary voice', 'You slowly dropped your eyelids', 'When true love takes a grip it leaves you without a choice', '', 'And in response to what you whispered in my ear', 'I must admit sometimes I fantasize about you, too', '', 'The leader of the free world', 'Reminds you of a wrestler wearing tight golden trunks', ""He's got himself a theme tune"", 'They play it for him as he makes his way to the ring', '', 'And in response to what you whispered in my ear', 'I must admit sometimes I fantasize about you, too', '', 'In the daytime', 'Bendable figures with a fresh new pack of lies', 'Summat else to publicise', ""I'm sure you've heard about enough"", '', 'So in response to what you whispered in my ear', ""I'll be upfront, sometimes (sometimes) I fantasize about you, too""]"
Arctic Monkeys,Four Out of Five,https://www.lyrics.com/lyric/34972018/Arctic+Monkeys/Four+Out+of+Five,"['Advertise in imaginative ways', 'Start your free trial today', ""Come on in, the water's lovely"", 'Look, you could meet someone you like', 'During the meteor strike', 'It is that easy', 'Lunar surface on a Saturday night', 'Dressed up in silver and white', 'With coloured old grey whistle test lights', '', 'Take it easy for a little while', 'Come and stay with us', ""It's such an easy flight"", 'Cute new places keep on popping up', ""Since the exodus it's all getting gentrified"", 'I put a taqueria on the roof', 'It was well reviewed', 'Four stars out of five', ""And that's unheard of"", '', ""I'm Mr. Bridge and Tunnel on the Starlight Express"", ""The head of special effects in my mind's eye"", 'Okey cokey with the opposite sex', 'The things you try to forget', ""Doesn't time fly?"", ""I'm in no position to give advice"", ""I don't want to be nice"", 'And you know that', '', 'Take it easy for a little while', 'Come and stay with us', ""It's such an easy flight"", 'Cute new places keep popping up', 'Around Clavius', ""It's all getting gentrified"", 'The information action ratio', 'Is the place to go', 'And you will not recognize', 'The old headquarters', '', 'All the nights that never happened', ""And the days that don't exist"", 'At the information action ratio', 'Only time that we stop laughing', 'Is to breathe or steal a kiss', 'I can get you on the list for all the clubs', 'I can lift you up another semitone', '', 'Take it easy for a little while', '(Take it easy for a little while)', 'Come and stay with us', ""It's such an easy flight"", 'Cute new places keep on popping up', '(Cute new places keep on popping up)', ""Since the exodus, it's all getting gentrified"", 'The information action ratio', '(The information action ratio) is the place to go', 'Four stars out of five', '', 'Take it easy for a little while', '(Take it easy for a little while)', 'Come and stay with us', ""Now, it's such an easy flight"", 'Cute new places keep on popping up', '(Cute new places keep on popping up)', ""Around Clavius, it's all getting gentrified"", 'I put a taqueria on the moon', '(The information action ratio)', 'It got rave reviews', 'Four stars out of five', '', 'Take it easy for a little while', '(Take it easy for a little while)', 'Come and stay with us', 'Four stars out of five', 'Take it easy for a little while', '(Take it easy for a little while)', 'Come and stay with us', 'Four stars out of five', 'Take it easy for a little while', '(Take it easy for a little while)', 'Come and stay with us', 'Four stars out of five', 'Take it easy for a little while', '(Take it easy for a little while)', 'Come and stay with us', '(Four stars out of five)', '(Take it easy for a little while)', 'Four stars out of five']"
Arctic Monkeys,The World's First Ever Monster Truck Front Flip,https://www.lyrics.com/lyric/34972017/Arctic+Monkeys/The+World%27s+First+Ever+Monster+Truck+Front+Flip,"[""You push the button and we'll do the rest"", 'The exotic sound of data storage', 'Nothing like it', 'First thing in the morning', ""You push the button and we'll do the rest"", 'Bastard latin', ""That's the best thing for it"", ""You push the button and we'll do the rest"", '', 'You and Lizzy in the summertime', ""Wrapping my tiny mind 'round a lullaby"", 'There are things that I just cannot explain to you', ""And those that I hope I don't ever have to"", '', 'Pattern language in the mood for love', ""You push the button and we'll do the rest"", '', 'You and Jeanie wearing stetson hats', 'Trying to gain access to my lily pad', 'There are things that I just cannot explain to you', ""And those that I hope I don't ever have to"", '', ""The world's first ever monster truck front flip"", ""I'm just a bad girl trying to be good"", ""I've got a laser guiding my love that I cannot adjust"", '', 'Forward thinking model villages', 'More brain shrinking moving images', ""You push the button and we'll do the rest""]"
Arctic Monkeys,Science Fiction,https://www.lyrics.com/lyric/34972016/Arctic+Monkeys/Science+Fiction,"['Religious iconography giving you the creeps?', 'I feel rougher than a disco lizard tongue along your cheek', 'The rise of the machines', 'I must admit you gave me something momentarily', 'In which I could believe', ""But the hand of harsh reality's un-gloved"", ""And it's on its way back in to scoop you up"", 'But not on my watch', '', ""I won't stay with you, my love"", 'The way some science fiction does', '', 'Reflections in the silver screen of strange societies', 'Swamp monster with a hard on for connectivity', 'The ascension of the cream', 'Mass panic on a not too distant future colony', 'Quantitative easing', 'I want to make a simple point about peace and love', ""But in a sexy way where it's not obvious"", '', 'Highlight dangers and send out hidden messages', 'The way some science fiction does', 'The way some science fiction does', '', ""I've got the world on a wire"", 'In my little mirror mirror on the wall', 'In the pocket of my raincoat', '', 'So I tried to write a song to make you blush', ""But I've a feeling that the whole thing"", 'May well just end up too clever for its own good', 'The way some science fiction does']"
Arctic Monkeys,She Looks Like Fun,https://www.lyrics.com/lyric/34972015/Arctic+Monkeys/She+Looks+Like+Fun,"['One, two, three, four', '', 'She looks like fun', 'She looks like fun', 'She looks like fun', 'She looks like', '', ""Smile like you've got a straw in something tropical"", ""I've got the party plugged right into my skull"", 'Wayne Manor, what a memorable N.Y.E', '', '(She looks like fun)', 'Good morning', '(She looks like fun)', 'Cheeseburger', '(She looks like fun)', 'Snowboarding', '(She looks like)', '', 'Finally, I can share with you through cloudy skies', 'Every whimsical thought that enters my mind', ""There's no limit to the length of the dickheads we can be"", '', '(She looks like fun)', 'Bukowski', '(She looks like fun)', 'Dogsitting', '(She looks like fun)', 'Screwballing', '(She looks like)', '', ""Finally, there's a place where you can wag your tongue"", ""Baby, but why can't we all just get along?"", ""Dance as if somebody's watching, 'cause they are"", '', ""No one's on the streets"", 'We moved it all online', 'As of March', ""I'm so full of shite"", 'I need to spend less time stood around in bars', 'Waffling on to strangers all about martial arts', 'And how much I respect them', '', '(She looks like fun)', 'Key changes', '(She looks like fun)', 'Re-thinking', '(She looks like fun)', 'New order', '(She looks like fun)']"
Arctic Monkeys,Batphone,https://www.lyrics.com/lyric/34972014/Arctic+Monkeys/Batphone,"['I want an interesting synonym', 'To describe this thing', ""That you say we're all grandfathered in"", ""I'll use the search engine (we've got much to discuss)"", 'Too much to discuss', 'Over a bucket of balls', 'I can recall the glow of your low beams', ""It's the big night in Tinsel City"", 'Life became a spectator sport', 'I launch my fragrance called ""Integrity""', ""I sell the fact that I can't be bought"", 'Have I told you all about the time', 'That I got sucked into a hole through a hand held device?', ""I will flashback now and again but I'm usually alright"", 'Thankfully the process has been simplified', 'Since the last time you tried', '', ""I've recognized the glow of your low beams numerous times"", ""I'll be by the Batphone if you need to get a hold"", 'Making a selection', 'Opening credits roll', 'Panoramic windows looking out across your soul', '', 'You go in through the door', 'Vengeance trilogy wallpaper walls', 'They have re-decorated it all', ""They've changed all the lights and the bar's down the side"", '', ""I've recognized the glow of your low beams numerous times"", 'Through fairly opaque blinds in the sitting room', ""Vehicles will pass by but I know when it's you"", ""I'll be in a nose dive in my flying shoes"", 'Right behind your closed eyes like a memory from your youth', ""I'll be by the Batphone if you need to get a hold"", 'Making a selection', 'Opening credits roll', 'Killer pink flamingos', 'Computer controlled', 'Panoramic windows looking out across your soul']"
